,Card No,Name,Floor,Last Sale Price,Real Supply,Wrapped Supply,Real Floor Mcap,Wrapped Floor Mcap
3,4,Clay,1.68995,1.69,460,354,777.3770000000001,598.2423
4,5,Paint,2.39995,2.39995,438,296,1051.1781,710.3852
19,20,MadBitcoins,0.69,0.68,1547,1387,1067.4299999999998,957.03
13,14,CryptoCurrency,2.18,2.1689500001,500,408,1090.0,889.44
8,9,Book,0.64,0.63,1817,1556,1162.88,995.84
5,6,Ink,2.69,2.15,438,300,1178.22,807.0
16,17,UASF,2.4,2.25,492,270,1180.8,648.0
15,16,OriginalCoin,2.49995,2.6499500000999996,500,358,1249.9750000000001,894.9821000000001
2,3,Berries,0.866,0.745,1584,1151,1371.744,996.766
10,11,BTC Keys,0.68888,0.67,2000,1536,1377.76,1058.11968
14,15,DigitalCash,2.9,3.0,500,232,1450.0,672.8
9,10,Future,0.728950000000001,0.66,2000,1640,1457.900000000002,1195.4780000000017
12,13,BTC,0.728951,0.603044444444444,2000,1451,1457.902,1057.707901
11,12,Mine Bitcoin,0.829,0.839951,1837,1314,1522.8729999999998,1089.306
26,27,Blue,2.7,2.9,565,384,1525.5,1036.8000000000002
29,30,Eclipse,2.24,1.99,816,419,1827.8400000000001,938.5600000000001
7,8,Painting,1.07,1.085,2000,1591,2140.0,1702.3700000000001
27,28,Pink,5.39,3.98,400,204,2156.0,1099.56
18,19,Dogs Trading,4.95,4.2,500,167,2475.0,826.65
17,18,To The Moon,7.2,5.5,492,140,3542.4,1008.0
25,26,Education,35.0,15.0,106,86,3710.0,3010.0
6,7,Sculpture,2.25,0.799,1865,1587,4196.25,3570.75
1,2,Nuts,3.48,1.15,1630,779,5672.4,2710.92
22,23,The Barbarian,30.0,42.0,250,41,7500.0,1230.0
0,1,Apples,4.19,4.19,1809,884,7579.710000000001,3703.9600000000005
20,21,The Wizard,21.0,23.314,500,50,10500.0,1050.0
24,25,Passion,67.99,67.69,222,33,15093.779999999999,2243.6699999999996
28,29,Yellow,99.98,150.0,200,30,19996.0,2999.4
23,24,Complexity,77.282,70.0,333,33,25734.906,2550.306
21,22,The Bard,69.4201,75.0,500,34,34710.05,2360.2834000000003
